# Cherenkov-Telescope-Array (south)
# ---------------------------------
# taken from: https://www.cta-observatory.org/science/cta-performance/
# accessed: 2018 July 31
# -> CTA-Performance-prod3b-v1-South-20deg-50h-EffArea
#
# log10(Primary Particle Energy) [log10(TeV)], Effective Area [cm^2]
-1.801342913045577365e+00,8.220000000000000000e+06
-1.749579997691105948e+00,1.400000000000000000e+07
-1.698970004336018746e+00,3.080000000000000000e+07
-1.649751981665837253e+00,4.760000000000000000e+07
-1.600326278518961809e+00,7.770000000000000000e+07
-1.549750891680638842e+00,1.080000000000000000e+08
-1.500312917381596112e+00,1.440000000000000000e+08
-1.449771646944906012e+00,1.810000000000000000e+08
-1.400116927926312149e+00,2.170000000000000000e+08
-1.349692476868063595e+00,2.530000000000000000e+08
-1.300162274132754314e+00,2.930000000000000000e+08
-1.250263684430938937e+00,3.320000000000000000e+08
-1.199970640755865681e+00,4.060000000000000000e+08
-1.149966742310230883e+00,4.810000000000000000e+08
-1.100179497572903786e+00,6.010000000000000000e+08
-1.050122295963125119e+00,7.220000000000000000e+08
-1.000000000000000000e+00,8.390000000000000000e+08
-9.507819773298183952e-01,9.570000000000000000e+08
-8.996294548824370629e-01,1.090000000000000000e+09
-8.507808873446200959e-01,1.210000000000000000e+09
-8.013429130455773652e-01,1.380000000000000000e+09
-7.495799976911060591e-01,1.540000000000000000e+09
-6.989700043360187465e-01,1.740000000000000000e+09
-6.497519816658371417e-01,1.930000000000000000e+09
-6.003262785189618089e-01,2.160000000000000000e+09
-5.497508916806389534e-01,2.380000000000000000e+09
-5.003129173815961117e-01,2.540000000000000000e+09
-4.497716469449059007e-01,2.700000000000000000e+09
-4.001169279263121492e-01,2.980000000000000000e+09
-3.496924768680634843e-01,3.260000000000000000e+09
-3.001622741327542587e-01,3.580000000000000000e+09
-2.502636844309388819e-01,3.910000000000000000e+09
-1.999706407558656807e-01,4.180000000000000000e+09
-1.499667423102310215e-01,4.450000000000000000e+09
-1.001794975729037168e-01,4.920000000000000000e+09
-5.012229596312520186e-02,5.390000000000000000e+09
0.000000000000000000e+00,6.040000000000000000e+09
4.921802267018165339e-02,6.690000000000000000e+09
1.003705451175629093e-01,7.640000000000000000e+09
1.492191126553798763e-01,8.600000000000000000e+09
1.986570869544226348e-01,9.720000000000000000e+09
2.504200023088939964e-01,1.090000000000000000e+10
3.010299956639811980e-01,1.220000000000000000e+10
3.502480183341628583e-01,1.350000000000000000e+10
3.996737214810380801e-01,1.510000000000000000e+10
4.502491083193610466e-01,1.680000000000000000e+10
4.996870826184038328e-01,1.820000000000000000e+10
5.502283530550940993e-01,1.960000000000000000e+10
5.998830720736878508e-01,2.120000000000000000e+10
6.503075231319364047e-01,2.280000000000000000e+10
6.998377258672456858e-01,2.430000000000000000e+10
7.497363155690610625e-01,2.580000000000000000e+10
8.000293592441343193e-01,2.700000000000000000e+10
8.500332576897690062e-01,2.820000000000000000e+10
8.998205024270962138e-01,2.960000000000000000e+10
9.498777040368747704e-01,3.090000000000000000e+10
1.000000000000000000e+00,3.210000000000000000e+10
1.049218022670181494e+00,3.330000000000000000e+10
1.100370545117562937e+00,3.410000000000000000e+10
1.149219112655379904e+00,3.480000000000000000e+10
1.198657086954422635e+00,3.530000000000000000e+10
1.250420002308894052e+00,3.580000000000000000e+10
1.301029995663981254e+00,3.690000000000000000e+10
1.350248018334162747e+00,3.790000000000000000e+10
1.399673721481038191e+00,3.840000000000000000e+10
1.450249108319361158e+00,3.880000000000000000e+10
1.499687082618403888e+00,3.970000000000000000e+10
1.550228353055093988e+00,4.070000000000000000e+10
1.599883072073687851e+00,4.100000000000000000e+10
1.650307523131936405e+00,4.130000000000000000e+10
1.699837725867245686e+00,4.010000000000000000e+10
1.749736315569061063e+00,3.890000000000000000e+10
1.800029359244134319e+00,3.890000000000000000e+10
1.850033257689768895e+00,3.900000000000000000e+10
1.899820502427096214e+00,3.950000000000000000e+10
1.949877704036874659e+00,4.000000000000000000e+10
2.000000000000000000e+00,3.910000000000000000e+10
2.049218022670181494e+00,3.820000000000000000e+10
2.100370545117562937e+00,3.860000000000000000e+10
2.149219112655379682e+00,3.910000000000000000e+10
