# Precision Measurement of the e+ - e- Flux in Primary Cosmic Rays from 0.5 GeV to
# 1 TeV with the Alpha Magnetic Spectrometer on the International Space Station
# E / GeV	Phi * E^3 / (GeV^2/[m^2 sec sr])
0.568482344359  5.09355509356
0.731393242359  8.83575883576
0.900983797609  16.9438669439
1.10989787236  27.5467775468
1.33207384741  41.8918918919
1.57118171076  58.1081081081
1.85320954466  75.5717255717
2.14820375656  94.2827442827
2.46861196822  112.993762994
2.81226734339  129.20997921
3.17604606278  153.534303534
3.5558497038  167.255717256
3.87863797542  180.353430353
4.30489203658  193.451143451
4.65505190998  202.806652807
5.21172068292  211.538461538
5.78447769732  218.399168399
6.3095734448  224.636174636
6.76376763466  229.625779626
7.44214475678  232.744282744
7.97786701094  233.367983368
8.62678663048  233.367983368
9.24778524457  233.367983368
10.0872685929  232.744282744
12.2121590769  227.130977131
14.2796308735  219.646569647
15.8489319246  215.280665281
18.0552611156  208.41995842
19.694257984  202.182952183
22.0493720919  197.193347193
24.901551975  190.332640333
28.1226734339  185.966735967
32.3172175848  179.106029106
36.816096176  174.74012474
40.5085940146  170.997920998
45.7485526157  166.632016632
50.3369378384  162.266112266
60.4132327152  159.771309771
68.2279408306  155.405405405
80.4748873375  150.415800416
97.4269810319  147.920997921
125.346787384  141.683991684
153.075490732  138.565488565
202.14377758  130.457380457
260.07244442  123.596673597
426.764886545  114.241164241
588.587887782  110.498960499
826.002063137  109.875259875
957.48521265  108.004158004
